county,year,flood_events,drought_events,heatwave_days,people_affected_thousands,economic_loss_millions_kes
Trans Nzoia,2008,0,1,6,37.6,36.1
Trans Nzoia,2009,1,0,12,36.3,126.0
Trans Nzoia,2010,0,1,12,32.7,129.6
Trans Nzoia,2011,1,0,10,60.7,72.3
Trans Nzoia,2012,1,2,14,16.2,18.4
Trans Nzoia,2013,0,2,14,42.5,116.9
Trans Nzoia,2014,2,0,9,58.7,51.3
Trans Nzoia,2015,2,4,16,59.0,108.4
Trans Nzoia,2016,1,1,11,27.9,133.2
Trans Nzoia,2017,1,1,11,48.5,113.2
Trans Nzoia,2018,1,2,12,36.2,225.9
Trans Nzoia,2019,1,0,14,33.2,135.9
Trans Nzoia,2020,1,2,16,45.7,231.6
Trans Nzoia,2021,2,1,15,15.1,233.0
Trans Nzoia,2022,1,2,18,44.9,72.5
Trans Nzoia,2023,0,2,22,56.6,41.9
Trans Nzoia,2024,4,2,17,66.1,158.3
Trans Nzoia,2025,2,2,21,33.5,266.0
Makueni,2000,0,2,0,11.1,97.3
Makueni,2001,1,0,2,28.8,162.9
Makueni,2002,0,2,5,28.3,27.5
Makueni,2003,3,2,3,17.1,87.1
Makueni,2004,1,5,1,4.0,185.8
Makueni,2005,2,1,7,17.1,99.9
Makueni,2006,1,1,8,30.6,124.8
Makueni,2007,3,1,10,1.6,20.0
Makueni,2008,2,0,10,42.9,150.0
Makueni,2009,1,1,10,37.4,133.0
Makueni,2010,1,5,10,2.1,210.6
Makueni,2011,0,2,6,8.0,16.0
Makueni,2012,1,2,13,33.2,247.0
Makueni,2013,3,0,10,52.8,101.7
Makueni,2014,1,0,11,6.1,60.0
Makueni,2015,0,0,15,56.8,216.8
Makueni,2016,2,1,14,9.4,92.0
Makueni,2017,0,1,12,30.1,234.8
Makueni,2018,2,2,19,14.6,53.0
Makueni,2019,2,2,13,62.8,43.3
Makueni,2020,1,0,16,53.7,122.4
Makueni,2021,1,0,22,70.2,159.6
Makueni,2022,2,1,18,18.8,35.2
Makueni,2023,5,2,21,9.6,139.6
Makueni,2024,0,1,24,75.0,197.2
Makueni,2025,3,5,23,30.8,29.7
Murang'a,2000,1,1,0,7.2,181.7
Murang'a,2001,2,1,0,4.2,26.0
Murang'a,2002,0,1,4,46.8,124.0
Murang'a,2003,0,1,0,15.1,154.0
Murang'a,2004,1,2,6,16.5,114.4
Murang'a,2005,1,0,6,9.2,13.0
Murang'a,2006,3,4,9,18.4,32.0
Murang'a,2007,1,2,3,47.2,34.9
Murang'a,2008,0,1,4,31.2,234.6
Murang'a,2009,1,1,11,33.7,152.3
Murang'a,2010,2,2,6,24.6,223.3
Murang'a,2011,1,1,7,59.1,41.7
Murang'a,2012,2,1,11,4.5,59.2
Murang'a,2013,4,0,10,44.9,27.2
Murang'a,2014,3,1,15,28.2,212.1
Murang'a,2015,1,1,16,51.7,202.0
Murang'a,2016,0,3,17,61.3,220.2
Murang'a,2017,2,1,16,43.3,44.1
Murang'a,2018,0,0,19,59.3,69.1
Murang'a,2019,2,1,17,36.3,69.3
Murang'a,2020,3,3,16,35.1,116.4
Murang'a,2021,2,2,20,48.9,63.0
Murang'a,2022,1,1,22,18.6,290.1
Murang'a,2023,2,4,23,16.4,135.9
Murang'a,2024,3,0,24,78.0,216.3
Murang'a,2025,0,0,19,81.0,44.2
Meru,2000,3,2,0,46.9,74.9
Meru,2001,0,1,5,33.5,47.6
Meru,2002,0,1,4,5.6,17.6
Meru,2003,1,2,0,28.0,104.0
Meru,2004,1,1,3,23.0,94.1
Meru,2005,1,1,6,15.0,70.4
Meru,2006,0,0,9,20.3,21.4
Meru,2007,0,0,4,5.6,34.7
Meru,2008,1,1,10,27.4,23.1
Meru,2009,1,2,10,6.9,159.0
Meru,2010,0,0,5,51.0,205.0
Meru,2011,0,2,9,59.0,210.5
Meru,2012,1,2,9,20.8,192.5
Meru,2013,4,1,15,50.7,86.0
Meru,2014,0,3,9,3.6,158.8
Meru,2015,0,2,13,54.8,9.2
Meru,2016,1,2,13,10.5,228.0
Meru,2017,2,4,19,27.1,113.3
Meru,2018,1,2,18,47.6,166.5
Meru,2019,4,1,20,24.1,62.7
Meru,2020,2,2,14,15.1,90.9
Meru,2021,2,2,16,38.8,67.5
Meru,2022,0,2,18,9.8,82.2
Meru,2023,3,1,22,2.4,8.7
Meru,2024,1,1,21,52.4,29.5
Meru,2025,1,2,17,37.1,225.1
Tharaka Nithi,2000,1,0,0,30.6,150.5
Tharaka Nithi,2001,1,4,4,6.3,164.8
Tharaka Nithi,2002,3,1,2,18.8,164.0
Tharaka Nithi,2003,2,1,1,4.3,172.0
Tharaka Nithi,2004,0,1,1,30.6,123.9
Tharaka Nithi,2005,1,2,9,8.4,33.3
Tharaka Nithi,2006,2,1,8,53.7,108.0
Tharaka Nithi,2007,0,2,10,54.4,53.4
Tharaka Nithi,2008,2,1,6,30.6,205.4
Tharaka Nithi,2009,2,1,9,41.5,48.8
Tharaka Nithi,2010,1,1,7,10.3,145.0
Tharaka Nithi,2011,0,5,6,13.7,49.7
Tharaka Nithi,2012,4,1,13,47.8,73.1
Tharaka Nithi,2013,1,1,13,38.1,95.5
Tharaka Nithi,2014,1,3,15,66.6,179.4
Tharaka Nithi,2015,1,1,13,25.3,17.6
Tharaka Nithi,2016,1,2,17,61.4,213.2
Tharaka Nithi,2017,0,0,17,42.6,233.2
Tharaka Nithi,2018,1,0,13,68.8,210.3
Tharaka Nithi,2019,2,3,15,58.3,282.2
Tharaka Nithi,2020,1,2,18,6.3,278.6
Tharaka Nithi,2021,2,0,16,44.2,280.9
Tharaka Nithi,2022,1,1,18,60.5,83.5
Tharaka Nithi,2023,1,3,22,45.4,96.9
Tharaka Nithi,2024,3,1,22,64.4,180.4
Tharaka Nithi,2025,1,0,18,80.6,193.5
Homa Bay,2000,6,2,0,39.7,117.5
Homa Bay,2001,7,1,0,40.8,25.7
Homa Bay,2002,7,1,0,47.6,23.7
Homa Bay,2003,3,1,4,2.5,10.6
Homa Bay,2004,2,0,4,16.7,70.1
Homa Bay,2005,4,1,5,34.5,158.7
Homa Bay,2006,0,1,9,24.5,150.1
Homa Bay,2007,7,3,9,56.8,68.0
Homa Bay,2008,6,2,6,58.1,110.2
Homa Bay,2009,5,1,12,32.4,65.9
Homa Bay,2010,2,2,7,60.8,126.2
Homa Bay,2011,5,1,12,55.7,79.7
Homa Bay,2012,5,2,9,44.3,42.9
Homa Bay,2013,4,1,8,31.6,140.5
Homa Bay,2014,3,2,13,12.7,18.2
Homa Bay,2015,6,2,15,54.1,153.3
Homa Bay,2016,4,0,11,8.4,253.2
Homa Bay,2017,8,1,15,61.5,247.2
Homa Bay,2018,5,0,15,16.1,37.0
Homa Bay,2019,4,0,13,27.2,70.8
Homa Bay,2020,4,1,20,6.7,111.5
Homa Bay,2021,4,2,16,54.5,174.4
Homa Bay,2022,5,2,19,62.4,38.7
Homa Bay,2023,2,3,19,27.9,16.7
Homa Bay,2024,2,3,21,43.3,207.6
Homa Bay,2025,6,1,24,33.4,160.8
Narok,2000,1,3,0,48.9,195.4
Narok,2001,1,2,6,27.1,92.4
Narok,2002,0,0,6,28.7,51.6
Narok,2003,2,0,1,8.0,11.9
Narok,2004,0,3,6,30.3,126.8
Narok,2005,1,0,4,29.0,61.0
Narok,2006,2,4,5,30.2,150.8
Narok,2007,2,1,9,43.0,116.0
Narok,2008,1,1,9,36.6,71.7
Narok,2009,2,0,6,50.7,158.1
Narok,2010,0,0,7,6.4,107.8
Narok,2011,3,1,13,62.9,217.9
Narok,2012,0,1,7,42.5,257.2
Narok,2013,0,1,11,53.0,140.7
Narok,2014,0,2,9,19.8,258.1
Narok,2015,1,2,10,53.5,89.7
Narok,2016,2,2,13,4.9,39.1
Narok,2017,4,1,12,60.6,277.8
Narok,2018,1,0,19,49.6,252.4
Narok,2019,2,2,13,60.5,60.4
Narok,2020,2,2,21,30.9,199.4
Narok,2021,0,2,20,74.3,199.6
Narok,2022,1,0,15,20.2,60.9
Narok,2023,4,1,18,64.7,300.7
Narok,2024,1,3,19,78.9,248.2
Narok,2025,0,1,24,61.7,49.8
Samburu,2000,0,0,0,6.1,157.0
Samburu,2001,0,3,5,7.2,76.0
Samburu,2002,3,0,2,26.2,142.8
Samburu,2003,1,1,6,44.9,151.6
Samburu,2004,1,1,7,34.3,95.9
Samburu,2005,0,1,4,52.6,39.8
Samburu,2006,1,0,9,25.1,77.4
Samburu,2007,1,0,5,37.5,160.9
Samburu,2008,1,0,10,23.5,188.2
Samburu,2009,0,1,6,50.4,206.6
Samburu,2010,0,2,6,14.8,135.8
Samburu,2011,1,1,10,24.1,22.8
Samburu,2012,1,2,8,59.3,84.2
Samburu,2013,2,1,9,20.9,248.5
Samburu,2014,1,0,9,32.4,146.2
Samburu,2015,1,0,11,3.0,186.9
Samburu,2016,1,2,18,57.4,30.4
Samburu,2017,2,0,13,49.7,238.4
Samburu,2018,1,1,16,47.5,210.6
Samburu,2019,3,3,15,2.7,251.6
Samburu,2020,1,1,17,21.5,139.9
Samburu,2021,0,2,14,40.9,247.7
Samburu,2022,1,4,20,47.7,281.1
Samburu,2023,0,1,21,13.8,265.3
Samburu,2024,2,0,17,32.0,104.1
Samburu,2025,4,2,21,65.7,185.6
Embu,2000,1,0,1,42.0,78.0
Embu,2001,1,1,0,14.2,200.0
Embu,2002,1,1,4,19.1,187.0
Embu,2003,2,2,4,44.1,142.1
Embu,2004,2,0,6,30.0,67.3
Embu,2005,1,0,7,51.0,202.5
Embu,2006,0,0,9,57.4,34.2
Embu,2007,3,2,4,54.1,22.2
Embu,2008,1,1,6,33.8,180.6
Embu,2009,3,3,4,29.9,20.5
Embu,2010,0,1,9,44.3,112.0
Embu,2011,1,0,7,31.9,7.6
Embu,2012,2,0,14,6.0,164.3
Embu,2013,2,1,15,42.9,42.1
Embu,2014,1,1,8,10.3,221.9
Embu,2015,1,1,16,25.6,120.3
Embu,2016,2,2,12,45.5,220.9
Embu,2017,2,0,15,46.6,137.8
Embu,2018,2,0,12,48.5,231.5
Embu,2019,4,1,16,3.1,264.3
Embu,2020,4,3,19,54.6,196.8
Embu,2021,1,3,20,12.6,222.2
Embu,2022,4,1,17,30.9,116.9
Embu,2023,2,4,22,4.0,197.1
Embu,2024,1,1,23,69.5,157.4
Embu,2025,1,2,22,22.9,265.7
Kericho,2000,1,1,5,23.4,92.1
Kericho,2001,3,0,0,35.0,137.6
Kericho,2002,0,1,5,38.6,8.5
Kericho,2003,2,0,0,15.2,175.6
Kericho,2004,0,0,7,27.5,154.4
Kericho,2005,1,1,5,31.6,191.6
Kericho,2006,2,1,2,13.6,89.9
Kericho,2007,3,1,8,1.9,66.8
Kericho,2008,0,3,8,37.4,76.0
Kericho,2009,1,1,5,20.5,80.1
Kericho,2010,0,3,11,62.2,75.9
Kericho,2011,0,0,10,16.6,230.4
Kericho,2012,2,0,7,32.7,241.2
Kericho,2013,1,1,12,30.4,199.2
Kericho,2014,0,0,15,8.1,143.7
Kericho,2015,3,1,15,66.2,159.3
Kericho,2016,2,2,15,53.6,187.3
Kericho,2017,2,1,14,52.7,244.1
Kericho,2018,1,0,17,70.0,7.8
Kericho,2019,2,1,16,18.2,86.7
Kericho,2020,0,1,20,43.5,210.1
Kericho,2021,0,3,18,18.1,262.5
Kericho,2022,1,1,18,7.9,228.9
Kericho,2023,1,2,19,59.0,16.4
Kericho,2024,0,1,20,48.3,130.6
Kericho,2025,0,2,18,81.0,41.5
Migori,2000,3,1,0,32.7,169.6
Migori,2001,6,3,0,47.8,130.5
Migori,2002,1,1,3,36.3,30.0
Migori,2003,4,0,5,39.1,131.9
Migori,2004,4,0,4,41.9,72.4
Migori,2005,2,1,4,25.9,14.4
Migori,2006,6,0,9,9.6,177.8
Migori,2007,1,4,8,10.0,17.6
Migori,2008,4,1,4,38.4,52.2
Migori,2009,6,1,11,18.5,44.4
Migori,2010,5,1,11,14.7,204.1
Migori,2011,4,2,13,61.0,235.1
Migori,2012,2,1,13,47.5,159.9
Migori,2013,7,2,9,10.7,175.6
Migori,2014,6,1,11,2.0,187.6
Migori,2015,2,2,14,31.4,78.9
Migori,2016,10,0,10,7.4,175.5
Migori,2017,2,3,14,19.5,29.3
Migori,2018,2,1,16,47.2,169.2
Migori,2019,3,0,12,8.6,84.1
Migori,2020,4,3,18,48.4,47.1
Migori,2021,7,3,18,8.5,110.3
Migori,2022,6,1,17,48.9,115.4
Migori,2023,3,1,21,75.4,260.9
Migori,2024,4,1,20,62.8,209.6
Migori,2025,2,3,20,56.3,69.3
Marsabit,2000,1,2,0,19.8,95.3
Marsabit,2001,1,5,2,14.0,152.2
Marsabit,2002,1,2,0,26.5,24.5
Marsabit,2003,1,4,1,52.8,81.1
Marsabit,2004,2,3,2,21.5,7.5
Marsabit,2005,2,5,6,50.7,181.8
Marsabit,2006,0,2,8,20.3,19.4
Marsabit,2007,1,3,8,40.1,180.2
Marsabit,2008,0,4,8,8.6,192.7
Marsabit,2009,0,6,6,60.4,102.3
Marsabit,2010,3,6,8,29.9,139.7
Marsabit,2011,1,4,12,4.3,124.2
Marsabit,2012,2,3,13,33.6,64.3
Marsabit,2013,5,3,10,52.5,205.4
Marsabit,2014,0,3,11,52.6,247.5
Marsabit,2015,3,9,11,16.0,64.0
Marsabit,2016,0,7,14,23.8,194.2
Marsabit,2017,2,2,16,33.1,98.7
Marsabit,2018,1,6,11,53.7,280.5
Marsabit,2019,1,3,17,40.9,139.2
Marsabit,2020,1,6,19,57.0,71.8
Marsabit,2021,1,6,16,60.3,267.1
Marsabit,2022,0,7,20,45.4,208.5
Marsabit,2023,1,3,20,55.9,218.7
Marsabit,2024,0,6,24,20.3,130.5
Marsabit,2025,0,2,20,46.3,132.4
Kirinyaga,2000,2,0,0,46.5,62.7
Kirinyaga,2001,0,0,1,24.1,200.4
Kirinyaga,2002,0,1,0,35.2,65.7
Kirinyaga,2003,2,0,4,42.9,199.1
Kirinyaga,2004,0,0,5,54.9,186.0
Kirinyaga,2005,1,0,5,20.4,59.0
Kirinyaga,2006,2,1,8,40.9,25.8
Kirinyaga,2007,0,2,8,20.7,7.0
Kirinyaga,2008,1,0,10,47.0,107.2
Kirinyaga,2009,1,1,6,54.1,170.2
Kirinyaga,2010,1,1,6,6.3,18.7
Kirinyaga,2011,0,1,8,56.2,232.9
Kirinyaga,2012,5,0,13,44.3,162.6
Kirinyaga,2013,0,0,9,59.5,18.7
Kirinyaga,2014,1,1,15,43.5,185.7
Kirinyaga,2015,1,1,9,66.1,119.0
Kirinyaga,2016,2,4,10,16.5,7.9
Kirinyaga,2017,1,2,17,38.2,36.2
Kirinyaga,2018,3,1,15,20.0,223.5
Kirinyaga,2019,2,0,20,22.7,263.5
Kirinyaga,2020,2,1,20,42.9,131.3
Kirinyaga,2021,0,3,14,38.8,300.3
Kirinyaga,2022,2,0,20,37.9,200.4
Kirinyaga,2023,0,2,22,18.1,208.0
Kirinyaga,2024,2,1,20,15.1,221.9
Kirinyaga,2025,0,1,24,3.2,23.2
Kilifi,2000,1,0,2,14.1,30.8
Kilifi,2001,2,1,0,36.6,37.2
Kilifi,2002,3,4,0,32.0,36.3
Kilifi,2003,2,2,0,3.1,183.5
Kilifi,2004,1,0,3,9.3,198.1
Kilifi,2005,2,1,2,13.7,29.6
Kilifi,2006,1,0,5,46.2,225.9
Kilifi,2007,1,2,6,6.4,186.4
Kilifi,2008,1,1,3,1.3,27.9
Kilifi,2009,2,0,5,17.3,6.6
Kilifi,2010,0,1,13,2.0,169.6
Kilifi,2011,0,5,6,15.4,186.5
Kilifi,2012,1,0,14,58.4,213.6
Kilifi,2013,0,2,9,45.4,178.1
Kilifi,2014,3,1,16,33.6,101.3
Kilifi,2015,0,3,10,15.4,100.0
Kilifi,2016,1,0,13,44.9,231.6
Kilifi,2017,1,2,14,65.9,173.7
Kilifi,2018,1,4,14,30.2,160.2
Kilifi,2019,3,0,15,1.8,116.5
Kilifi,2020,1,0,15,6.8,151.7
Kilifi,2021,1,0,19,58.8,89.8
Kilifi,2022,1,0,21,38.6,79.9
Kilifi,2023,0,2,19,30.2,124.6
Kilifi,2024,1,2,19,75.6,113.4
Kilifi,2025,1,0,23,61.0,266.0
Siaya,2000,4,0,1,22.5,18.8
Siaya,2001,7,1,3,25.7,163.3
Siaya,2002,3,3,3,4.3,116.0
Siaya,2003,3,2,3,42.7,140.6
Siaya,2004,3,2,4,34.3,130.0
Siaya,2005,5,1,5,11.6,74.9
Siaya,2006,1,0,9,11.4,167.5
Siaya,2007,5,2,6,28.0,165.2
Siaya,2008,6,0,9,44.3,110.1
Siaya,2009,4,0,8,46.0,23.1
Siaya,2010,0,1,10,10.9,79.2
Siaya,2011,6,2,12,60.3,144.2
Siaya,2012,6,1,11,45.9,79.3
Siaya,2013,4,1,11,24.6,28.4
Siaya,2014,5,0,15,49.7,121.9
Siaya,2015,3,0,13,61.4,146.9
Siaya,2016,3,4,11,56.9,235.6
Siaya,2017,3,0,16,18.7,96.8
Siaya,2018,4,0,12,68.9,154.2
Siaya,2019,7,0,13,58.9,58.0
Siaya,2020,2,0,20,32.8,125.7
Siaya,2021,6,1,19,69.7,111.8
Siaya,2022,4,0,20,56.3,27.7
Siaya,2023,6,4,16,57.5,8.9
Siaya,2024,3,4,19,79.2,242.7
Siaya,2025,2,0,23,72.2,121.3
Kajiado,2000,0,1,0,22.5,35.5
Kajiado,2001,2,1,2,30.1,117.0
Kajiado,2002,1,2,0,9.2,197.0
Kajiado,2003,2,1,2,44.6,83.8
Kajiado,2004,2,1,1,37.9,147.9
Kajiado,2005,1,1,4,10.5,18.0
Kajiado,2006,0,2,4,7.9,162.5
Kajiado,2007,0,2,3,55.6,223.5
Kajiado,2008,2,1,9,56.4,64.7
Kajiado,2009,1,0,5,58.6,9.2
Kajiado,2010,2,1,6,37.6,68.0
Kajiado,2011,1,0,13,39.0,241.2
Kajiado,2012,2,0,12,48.3,197.6
Kajiado,2013,3,1,14,44.5,151.6
Kajiado,2014,2,2,16,7.8,9.3
Kajiado,2015,1,1,10,35.3,147.1
Kajiado,2016,2,3,14,49.6,44.0
Kajiado,2017,0,0,14,24.7,267.4
Kajiado,2018,3,1,17,51.3,156.5
Kajiado,2019,3,1,13,55.0,217.8
Kajiado,2020,0,2,15,5.3,265.6
Kajiado,2021,0,0,17,59.5,237.3
Kajiado,2022,3,2,15,56.2,185.1
Kajiado,2023,2,0,22,77.2,44.4
Kajiado,2024,2,3,18,16.1,121.5
Kajiado,2025,0,3,22,4.0,189.7
Wajir,2000,1,7,0,11.3,73.9
Wajir,2001,0,4,5,34.0,49.2
Wajir,2002,1,4,4,11.6,35.0
Wajir,2003,1,4,7,52.4,162.1
Wajir,2004,0,3,8,24.3,31.8
Wajir,2005,1,2,2,24.4,120.7
Wajir,2006,2,5,9,19.1,178.6
Wajir,2007,2,3,10,54.7,220.1
Wajir,2008,0,5,10,29.5,154.5
Wajir,2009,2,3,10,43.2,152.1
Wajir,2010,0,6,7,50.0,178.8
Wajir,2011,0,5,10,7.7,220.8
Wajir,2012,0,0,13,32.7,45.5
Wajir,2013,0,2,11,25.3,151.9
Wajir,2014,0,1,10,10.2,131.3
Wajir,2015,2,7,10,42.3,78.3
Wajir,2016,1,5,13,27.1,251.2
Wajir,2017,0,8,13,9.2,118.9
Wajir,2018,4,7,12,20.8,36.0
Wajir,2019,1,3,14,31.1,118.8
Wajir,2020,1,2,18,44.6,28.3
Wajir,2021,2,8,20,40.0,224.3
Wajir,2022,4,7,15,56.7,41.9
Wajir,2023,0,7,18,70.9,120.1
Wajir,2024,4,6,20,25.9,305.7
Wajir,2025,1,8,25,32.5,172.1
Nyandarua,2000,1,1,3,48.4,39.8
Nyandarua,2001,2,1,3,39.3,60.1
Nyandarua,2002,1,2,4,47.7,101.3
Nyandarua,2003,1,2,4,16.6,40.3
Nyandarua,2004,0,2,4,45.7,144.9
Nyandarua,2005,1,1,5,37.7,155.9
Nyandarua,2006,1,1,5,19.5,116.8
Nyandarua,2007,1,1,7,56.7,229.0
Nyandarua,2008,0,3,8,20.3,109.6
Nyandarua,2009,1,0,7,2.0,31.5
Nyandarua,2010,2,2,8,49.0,233.1
Nyandarua,2011,0,0,9,51.8,65.8
Nyandarua,2012,4,1,8,8.6,185.6
Nyandarua,2013,4,5,14,31.4,159.3
Nyandarua,2014,3,1,14,46.7,224.2
Nyandarua,2015,1,1,11,46.5,19.4
Nyandarua,2016,0,0,16,52.4,61.1
Nyandarua,2017,1,2,11,56.4,43.9
Nyandarua,2018,2,0,13,4.1,14.5
Nyandarua,2019,0,0,16,7.4,213.3
Nyandarua,2020,3,1,15,25.5,22.2
Nyandarua,2021,0,1,14,73.6,143.9
Nyandarua,2022,0,2,21,8.4,39.5
Nyandarua,2023,1,2,21,51.3,218.9
Nyandarua,2024,2,3,22,46.2,79.6
Nyandarua,2025,1,1,23,30.8,170.5
Eldoret,2000,2,0,0,24.2,24.2
Eldoret,2001,0,2,4,40.2,28.3
Eldoret,2002,1,0,4,41.4,9.7
Eldoret,2003,0,1,0,48.3,31.1
Eldoret,2004,1,1,2,36.0,37.3
Eldoret,2005,2,0,1,55.4,98.0
Eldoret,2006,0,1,9,14.9,131.0
Eldoret,2007,0,2,5,56.0,81.1
Eldoret,2008,0,1,8,3.8,235.8
Eldoret,2009,1,0,8,4.7,237.6
Eldoret,2010,2,2,10,27.1,47.9
Eldoret,2011,1,0,7,55.9,205.2
Eldoret,2012,1,0,11,9.7,153.6
Eldoret,2013,1,3,11,62.5,20.5
Eldoret,2014,3,1,13,60.3,229.4
Eldoret,2015,1,2,13,23.8,117.7
Eldoret,2016,3,0,17,33.8,145.5
Eldoret,2017,1,2,14,2.5,242.5
Eldoret,2018,1,3,16,55.7,54.5
Eldoret,2019,1,3,14,46.5,171.5
Eldoret,2020,1,2,14,52.3,66.1
Eldoret,2021,1,1,18,63.4,123.5
Eldoret,2022,1,3,20,59.0,38.1
Eldoret,2023,3,1,22,69.2,294.1
Eldoret,2024,4,1,19,30.3,228.2
Eldoret,2025,0,3,25,73.9,30.4
Laikipia,2000,1,0,4,22.6,132.7
Laikipia,2001,3,0,6,34.1,142.7
Laikipia,2002,3,0,3,52.2,83.4
Laikipia,2003,1,1,6,40.6,130.3
Laikipia,2004,2,1,6,30.2,29.9
Laikipia,2005,0,4,4,12.0,83.2
Laikipia,2006,5,1,9,55.0,34.0
Laikipia,2007,2,1,7,24.8,113.2
Laikipia,2008,1,1,11,56.7,148.2
Laikipia,2009,0,1,12,57.0,18.9
Laikipia,2010,1,3,5,41.5,181.7
Laikipia,2011,2,2,12,6.4,160.4
Laikipia,2012,1,1,9,16.2,147.2
Laikipia,2013,1,1,9,27.2,92.9
Laikipia,2014,2,4,13,35.6,7.0
Laikipia,2015,2,2,11,58.0,152.9
Laikipia,2016,1,3,17,12.9,78.8
Laikipia,2017,1,1,13,45.9,93.3
Laikipia,2018,1,1,14,58.7,163.3
Laikipia,2019,4,0,19,31.6,205.7
Laikipia,2020,1,4,16,32.0,165.4
Laikipia,2021,2,1,17,49.7,233.3
Laikipia,2022,0,3,22,74.5,105.1
Laikipia,2023,3,2,21,61.3,189.8
Laikipia,2024,2,1,21,38.2,242.4
Laikipia,2025,1,0,22,34.1,61.1
Nyamira,2000,0,2,4,43.5,174.3
Nyamira,2001,4,2,3,8.6,155.9
Nyamira,2002,1,2,2,36.7,137.1
Nyamira,2003,0,2,5,6.6,155.9
Nyamira,2004,4,2,4,10.9,101.0
Nyamira,2005,2,0,4,46.0,73.1
Nyamira,2006,0,1,9,47.0,119.2
Nyamira,2007,2,2,9,53.4,212.4
Nyamira,2008,1,1,5,23.3,60.9
Nyamira,2009,0,2,5,22.9,69.7
Nyamira,2010,3,2,8,41.6,176.0
Nyamira,2011,2,2,12,16.8,140.6
Nyamira,2012,2,0,10,4.6,90.4
Nyamira,2013,1,1,10,55.5,89.4
Nyamira,2014,0,2,9,62.9,180.1
Nyamira,2015,2,1,16,38.0,47.7
Nyamira,2016,1,3,13,13.5,231.3
Nyamira,2017,1,1,11,64.9,94.9
Nyamira,2018,2,4,19,48.8,246.1
Nyamira,2019,1,1,19,29.1,153.2
Nyamira,2020,2,1,20,31.3,224.3
Nyamira,2021,1,3,17,26.4,81.2
Nyamira,2022,1,3,15,73.2,190.1
Nyamira,2023,1,4,16,8.1,177.5
Nyamira,2024,1,2,23,52.6,166.8
Nyamira,2025,0,7,22,40.4,292.8
Nairobi,2000,2,2,0,1.7,14.4
Nairobi,2001,5,3,0,48.6,86.3
Nairobi,2002,3,0,2,30.7,151.0
Nairobi,2003,0,0,6,10.7,8.8
Nairobi,2004,1,0,1,52.9,126.3
Nairobi,2005,1,3,8,26.2,97.7
Nairobi,2006,2,0,7,31.2,86.3
Nairobi,2007,2,0,9,40.9,128.3
Nairobi,2008,0,0,10,7.9,8.6
Nairobi,2009,0,3,6,47.7,137.9
Nairobi,2010,0,3,13,39.6,128.8
Nairobi,2011,1,0,9,30.3,243.0
Nairobi,2012,3,3,11,53.3,202.7
Nairobi,2013,1,0,9,66.2,247.3
Nairobi,2014,1,2,10,60.7,144.2
Nairobi,2015,0,1,10,25.2,222.5
Nairobi,2016,1,3,10,21.2,160.6
Nairobi,2017,3,3,15,56.3,35.9
Nairobi,2018,0,2,14,52.5,270.2
Nairobi,2019,0,0,16,32.3,68.8
Nairobi,2020,2,3,20,50.8,46.7
Nairobi,2021,1,3,14,20.9,170.7
Nairobi,2022,2,1,17,6.8,235.3
Nairobi,2023,3,1,18,60.1,280.5
Nairobi,2024,2,2,23,35.4,32.2
Nairobi,2025,4,3,18,55.9,236.5
Kisumu,2000,6,2,3,48.8,186.5
Kisumu,2001,3,0,0,15.0,78.1
Kisumu,2002,5,0,1,47.4,178.1
Kisumu,2003,5,3,5,10.3,81.3
Kisumu,2004,6,1,2,26.6,140.3
Kisumu,2005,0,1,3,21.8,144.2
Kisumu,2006,1,1,4,36.3,101.5
Kisumu,2007,2,0,3,43.4,43.8
Kisumu,2008,2,0,5,3.2,127.9
Kisumu,2009,3,1,9,32.5,6.3
Kisumu,2010,5,0,7,40.9,216.3
Kisumu,2011,2,0,14,59.5,222.0
Kisumu,2012,4,0,10,62.9,207.6
Kisumu,2013,8,0,10,22.5,199.6
Kisumu,2014,4,2,16,42.5,45.2
Kisumu,2015,3,1,13,60.3,13.3
Kisumu,2016,4,1,14,56.7,256.6
Kisumu,2017,3,0,12,19.6,75.8
Kisumu,2018,5,2,18,38.9,198.1
Kisumu,2019,6,1,15,8.3,77.0
Kisumu,2020,4,0,20,32.7,143.8
Kisumu,2021,4,1,17,4.1,220.2
Kisumu,2022,4,2,17,32.0,39.3
Kisumu,2023,5,1,21,24.0,62.1
Kisumu,2024,3,1,23,32.4,303.1
Kisumu,2025,5,1,21,65.7,150.0
Kitui,2000,1,4,2,19.4,180.8
Kitui,2001,2,4,4,24.0,137.8
Kitui,2002,1,3,0,18.2,26.5
Kitui,2003,4,8,1,53.0,158.6
Kitui,2004,1,3,4,6.8,140.1
Kitui,2005,2,6,6,6.9,152.7
Kitui,2006,5,6,6,42.2,121.6
Kitui,2007,1,6,7,49.7,66.3
Kitui,2008,4,8,10,12.4,208.5
Kitui,2009,0,7,10,60.1,129.0
Kitui,2010,4,3,6,11.7,125.0
Kitui,2011,3,5,11,30.4,253.1
Kitui,2012,5,4,8,43.7,186.8
Kitui,2013,3,9,14,7.2,197.4
Kitui,2014,2,3,10,7.7,40.0
Kitui,2015,5,7,13,29.1,185.9
Kitui,2016,2,10,12,46.1,164.3
Kitui,2017,5,7,18,57.1,224.3
Kitui,2018,5,7,13,51.2,64.4
Kitui,2019,2,3,18,29.6,293.6
Kitui,2020,2,3,20,39.3,243.6
